date,symbol,in_universe
20240102,600519.SH,True
20240103,600519.SH,True
20240104,600519.SH,True
20240105,600519.SH,True
20240108,600519.SH,True
20240109,600519.SH,True
20240110,600519.SH,True
20240111,600519.SH,True
20240112,600519.SH,True
20240115,600519.SH,True
20240116,600519.SH,True
20240117,600519.SH,True
20240118,600519.SH,True
20240119,600519.SH,True
20240122,600519.SH,True
20240123,600519.SH,True
20240124,600519.SH,True
20240125,600519.SH,True
20240126,600519.SH,True
20240129,600519.SH,True
20240130,600519.SH,True
20240131,600519.SH,True
20240201,600519.SH,True
20240202,600519.SH,True
20240205,600519.SH,True
20240206,600519.SH,True
20240207,600519.SH,True
20240208,600519.SH,True
20240219,600519.SH,True
20240220,600519.SH,True
20240221,600519.SH,True
20240222,600519.SH,True
20240223,600519.SH,True
20240226,600519.SH,True
20240227,600519.SH,True
20240228,600519.SH,True
20240229,600519.SH,True
20240301,600519.SH,True
20240304,600519.SH,True
20240305,600519.SH,True
20240306,600519.SH,True
20240307,600519.SH,True
20240308,600519.SH,True
20240311,600519.SH,True
20240312,600519.SH,True
20240313,600519.SH,True
20240314,600519.SH,True
20240315,600519.SH,True
20240318,600519.SH,True
20240319,600519.SH,True
20240320,600519.SH,True
20240321,600519.SH,True
20240322,600519.SH,True
20240325,600519.SH,True
20240326,600519.SH,True
20240327,600519.SH,True
20240328,600519.SH,True
20240329,600519.SH,True
20240401,600519.SH,True
20240402,600519.SH,True
20240403,600519.SH,True
20240408,600519.SH,True
20240409,600519.SH,True
20240410,600519.SH,True
20240411,600519.SH,True
20240412,600519.SH,True
20240415,600519.SH,True
20240416,600519.SH,True
20240417,600519.SH,True
20240418,600519.SH,True
20240419,600519.SH,True
20240422,600519.SH,True
20240423,600519.SH,True
20240424,600519.SH,True
20240425,600519.SH,True
20240426,600519.SH,True
20240429,600519.SH,True
20240430,600519.SH,True
20240506,600519.SH,True
20240507,600519.SH,True
20240508,600519.SH,True
20240509,600519.SH,True
20240510,600519.SH,True
20240513,600519.SH,True
20240514,600519.SH,True
20240515,600519.SH,True
20240516,600519.SH,True
20240517,600519.SH,True
20240520,600519.SH,True
20240521,600519.SH,True
20240522,600519.SH,True
20240523,600519.SH,True
20240524,600519.SH,True
20240527,600519.SH,True
20240528,600519.SH,True
20240529,600519.SH,True
20240530,600519.SH,True
20240531,600519.SH,True
20240603,600519.SH,True
20240604,600519.SH,True
20240605,600519.SH,True
20240606,600519.SH,True
20240607,600519.SH,True
20240611,600519.SH,True
20240612,600519.SH,True
20240613,600519.SH,True
20240614,600519.SH,True
20240617,600519.SH,True
20240618,600519.SH,True
20240619,600519.SH,True
20240620,600519.SH,True
20240621,600519.SH,True
20240624,600519.SH,True
20240625,600519.SH,True
20240626,600519.SH,True
20240627,600519.SH,True
20240628,600519.SH,True
20240701,600519.SH,True
20240702,600519.SH,True
20240703,600519.SH,True
20240704,600519.SH,True
20240705,600519.SH,True
20240708,600519.SH,True
20240709,600519.SH,True
20240710,600519.SH,True
20240711,600519.SH,True
20240712,600519.SH,True
20240715,600519.SH,True
20240716,600519.SH,True
20240717,600519.SH,True
20240718,600519.SH,True
20240719,600519.SH,True
20240722,600519.SH,True
20240723,600519.SH,True
20240724,600519.SH,True
20240725,600519.SH,True
20240726,600519.SH,True
20240729,600519.SH,True
20240730,600519.SH,True
20240731,600519.SH,True
20240801,600519.SH,True
20240802,600519.SH,True
20240805,600519.SH,True
20240806,600519.SH,True
20240807,600519.SH,True
20240808,600519.SH,True
20240809,600519.SH,True
20240812,600519.SH,True
20240813,600519.SH,True
20240814,600519.SH,True
20240815,600519.SH,True
20240816,600519.SH,True
20240819,600519.SH,True
20240820,600519.SH,True
20240821,600519.SH,True
20240822,600519.SH,True
20240823,600519.SH,True
20240826,600519.SH,True
20240827,600519.SH,True
20240828,600519.SH,True
20240829,600519.SH,True
20240830,600519.SH,True
20240902,600519.SH,True
20240903,600519.SH,True
20240904,600519.SH,True
20240905,600519.SH,True
20240906,600519.SH,True
20240909,600519.SH,True
20240910,600519.SH,True
20240911,600519.SH,True
20240912,600519.SH,True
20240913,600519.SH,True
20240918,600519.SH,True
20240919,600519.SH,True
20240920,600519.SH,True
20240923,600519.SH,True
20240924,600519.SH,True
20240925,600519.SH,True
20240926,600519.SH,True
20240927,600519.SH,True
20240930,600519.SH,True
20241008,600519.SH,True
20241009,600519.SH,True
20241010,600519.SH,True
20241011,600519.SH,True
20241014,600519.SH,True
20241015,600519.SH,True
20241016,600519.SH,True
20241017,600519.SH,True
20241018,600519.SH,True
20241021,600519.SH,True
20241022,600519.SH,True
20241023,600519.SH,True
20241024,600519.SH,True
20241025,600519.SH,True
20241028,600519.SH,True
20241029,600519.SH,True
20241030,600519.SH,True
20241031,600519.SH,True
20241101,600519.SH,True
20241104,600519.SH,True
20241105,600519.SH,True
20241106,600519.SH,True
20241107,600519.SH,True
20241108,600519.SH,True
20241111,600519.SH,True
20241112,600519.SH,True
20241113,600519.SH,True
20241114,600519.SH,True
20241115,600519.SH,True
20241118,600519.SH,True
20241119,600519.SH,True
20241120,600519.SH,True
20241121,600519.SH,True
20241122,600519.SH,True
20241125,600519.SH,True
20241126,600519.SH,True
20241127,600519.SH,True
20241128,600519.SH,True
20241129,600519.SH,True
20241202,600519.SH,True
20241203,600519.SH,True
20241204,600519.SH,True
20241205,600519.SH,True
20241206,600519.SH,True
20241209,600519.SH,True
20241210,600519.SH,True
20241211,600519.SH,True
20241212,600519.SH,True
20241213,600519.SH,True
20241216,600519.SH,True
20241217,600519.SH,True
20241218,600519.SH,True
20241219,600519.SH,True
20241220,600519.SH,True
20241223,600519.SH,True
20241224,600519.SH,True
20241225,600519.SH,True
20241226,600519.SH,True
20241227,600519.SH,True
20241230,600519.SH,True
20241231,600519.SH,True
20250102,600519.SH,True
20250103,600519.SH,True
20250106,600519.SH,True
20250107,600519.SH,True
20250108,600519.SH,True
20250109,600519.SH,True
20250110,600519.SH,True
20250113,600519.SH,True
20250114,600519.SH,True
20250115,600519.SH,True
20250116,600519.SH,True
20250117,600519.SH,True
20250120,600519.SH,True
20250121,600519.SH,True
20250122,600519.SH,True
20250123,600519.SH,True
20250124,600519.SH,True
20250127,600519.SH,True
20250205,600519.SH,True
20250206,600519.SH,True
20250207,600519.SH,True
20250210,600519.SH,True
20250211,600519.SH,True
20250212,600519.SH,True
20250213,600519.SH,True
20250214,600519.SH,True
20250217,600519.SH,True
20250218,600519.SH,True
20250219,600519.SH,True
20250220,600519.SH,True
20250221,600519.SH,True
20250224,600519.SH,True
20250225,600519.SH,True
20250226,600519.SH,True
20250227,600519.SH,True
